bm_method,roc_method,bm_lead_med,bm_false,bm_noise,roc_lead_med,roc_false,roc_noise,combined_score
ema,roc7,33.0,45.8,8.4,4.0,48.8,28.7,51.6
ema,roc14,33.0,45.8,8.4,3.5,47.4,19.3,51.4
ema,roc7c,33.0,45.8,8.4,-2.0,45.2,19.2,46.5
bm14,roc7,55.0,70.5,145.7,4.0,48.8,28.7,43.9
bm14,roc14,55.0,70.5,145.7,3.5,47.4,19.3,43.6
bm30,roc7,57.0,77.6,160.9,4.0,48.8,28.7,42.1
bm30,roc14,57.0,77.6,160.9,3.5,47.4,19.3,41.8
bm14,roc7c,55.0,70.5,145.7,-2.0,45.2,19.2,38.7
bm30,roc7c,57.0,77.6,160.9,-2.0,45.2,19.2,36.9
